"","x"
"117","Vlaams-Brabant.Jessa"
"118","Oost-Vlaanderen.AZ Sint-Lucas Gent"
"119","Brussels Hoofdstedelijk Gewest.AZ Delta Medical Laboratories in Roeselare, Belgium"
"120","Vlaams-Brabant.Klinisch Laboratorium ZNA"
"121","Luxemburg.Institut de Pathologie et Genetique (IPG)"
"122","Henegouwen.AZ Delta Medical Laboratories in Roeselare, Belgium"
"123","Antwerpen.Imelda Ziekenhuis"
"124","Vlaams-Brabant.Imelda Ziekenhuis"
"125","Antwerpen.Jessa"
"126","Waals-Brabant.OLVZ Aalst"
"127","Antwerpen.Augustijnslei 100 2930 Brasschaat"
"128","Limburg.Imelda Ziekenhuis"
"129","Brussels Hoofdstedelijk Gewest.AZ SINT-JAN BRUGGE"
"130","West-Vlaanderen.Labo Klinische Biologie, UZA"
"131","Luxemburg.Labo Klinische Biologie, UZA"
"132","Limburg.AZ SINT-JAN BRUGGE"
"133","West-Vlaanderen.Klinisch Laboratorium ZNA"
"134","West-Vlaanderen.AZ Sint Jan"
"135","Vlaams-Brabant.AZ Klina"
"136","Antwerpen.AZ Delta Medical Laboratories in Roeselare, Belgium"
