"","Var1","Freq"
"62","CUB Hopital Erasme Laboratoire d'Anatomie Pathologique",9
"63","CUSL/UCLouvain COVID testing federal platform",9
"64","Department of Clinical Microbiology",2073
"65","Dutch COVID-19 response team",7
"66","GHDC - SITE ST JOSEPH",16
"67","GZA Hospital Sint-Augustinus",1
"68","GZA Sint-Augustinus",1
"69","GZA Sint-Augustinus Hospital",6
"70","HCRC",12
"71","Heilig Hart Hospital",5
"72","Heilig Hart Hospital Lier",1
"73","Heilig hart Lier",19
"74","Heilig Hart Lier",1
"75","Heilig Hart Mol",1
"76","Hopital Sainte Therese Bastogne",1
"77","Hospital AZ Rivierenland",35
"78","I.F.A.C. Hopital Princesse Paola",47
"79","Imeda Hospital",45
"80","Imelda hospital",7
"81","Imelda Hospital",35
"82","Imelda hospital Bonheiden",7
"83","Imelda Ziekenhuis",16
"84","Institut de Pathologie et Genetique (IPG)",2
"85","Institute information KU Leuven, Clinical and Epidemiological Virology",1
"86","Instituut Tropische Geneeskunde",1
"87","jessa",46
"88","Jessa",1364
"89","Klinisch Laboratorium GZA",14
"90","Klinisch Laboratorium ZNA",174
"91","KU Leuven, Clincal and Epidemiological Virology",1
"92","KU Leuven, Clinical and Epidemiological Virology",183
"93","KU Leuven, Rega Institute, Clinical and Epidemiological Virology",3974
"94","Lab voor klinische biologie",3170
"95","Labo Klinische Biologie, UZA",33
"96","Labo Luc Olivier",70
"97","Labo Medicom",5
"98","Labo Somedi",2
"99","Laboratoire de biologie moléculaire - Plateforme Clinique",1
"100","Laboratoire Hospitalier Universitaire de Bruxelles (LHUB-ULB)",28
"101","Laboratoire Vivalia - Cliniques St-Joseph",12
"102","Laboratoire Vivalia -Cliniques St-Joseph",1
"103","Landstuhl Regional Medical Center",4
"104","LHUB-ULB",601
"105","Libramont",23
"106","LKO",52
"107","LKOLMC",8
"108","Marche en Famenne",108
"109","Microbiology Department - University Hospital Brussel",6
"110","National Plateform bis UMONS/Jolimont",1
"111","National Platform bis UMONS/Jolimont",431
"112","OLVZ Aalst",137
"113","Plateforme BIS Namur",42
"114","Plateforme Clinique de testing Namuroise",27
"115","Plateforme de testing namuroise",22
"116","Plateforme de testing Namuroise",743
"117","Platform BIS UZA/UAntwerpen",1639
"118","Platform BIS UZA/UAntwerpen (PLBIS)",9
"119","Platform BIS UZA/UAntwerpen, University Hospital Antwerp, Edegem, Belgium",23
"120","Queen Astrid Military Hospital",10
"121","Saint-Luc Bouge",1
"122","SCIENSANO National Influenza Centre",1
"123","SFZ",2
"124","Somedi",2
"125","Somedi laboratories",22
"126","ST. JOZEFKLINIEK-Campus Willebroek",1
"127","St. Nikolaus-Hospital Eupen",123
"128","STZ",3
"129","Synlab",143
"130","SYNLAB",1964
"131","SYNLAB - Laboratoire J. Collard",248
"132","The Institute of Tropical Medicine in Antwerp, Belgium",1
"133","Trudo",4
"134","Univeritair Ziekenhuis Antwerpen (UZA)",6
"135","Universitair Ziekemhuis Antwerpen (UZA)",1
"136","University Hospital Antwerp (UZA), Drie Eikenstraat 655, 2650 Edegem, Belgium",4
"137","University Hospital Basel, Clinical Virology",1
"138","University Hospital Laboratory of Brussels Universitair Laboratorium van Brussel (LHUB-ULB)",1
"139","University of Liège COVID-19 testing center",947
"140","UZ Leuven, National Reference Laboratory for Coronaviruses, Laboratory Medicine, Leuven, Belgium",951
"141","UZA/UAntwerpen (BIS lab), University Hospital Antwerp, Edegem, Belgium",7
"142","Vivalia - Clinique Saint-Joseph",27
"143","ZNA Middelheim",1
