lab,type,count,lab_name,do_baseline_surveillance
"AZ Delta Medical Laboratories in Roeselare, Belgium",originating_lab,1,AZ Delta Roeselare,yes
AZ KLina,submitting_lab,1,AZ Klina,no
AZ Sint Blasius,originating_lab,1,AZ Rivierenland,no
AZ St.Jan,originating_lab,1,AZ St.Jan,no
"AZ St.Jan, campus Oostende",originating_lab,1,AZ St.Jan,no
C.H Peltzer - la Tourelle,originating_lab,1,CHR Verviers,no
C.H.Bois de l'Abbaye,originating_lab,1,CHBA,no
CHR de Namur,originating_lab,1,CHR Namur,no
CHR Namur,originating_lab,1,CHR Namur,no
CHR Verviers,originating_lab,1,CHR Verviers,no
Clinique St Joseph Saint Vith,originating_lab,1,Clinique St Joseph Saint Vith,no
GZA Hospital Sint-Augustinus,originating_lab,1,GZA,no
GZA Sint-Augustinus,originating_lab,1,GZA,no
Heilig Hart Hospital Lier,originating_lab,1,Heilig Hart Lier,yes
Heilig Hart Lier,originating_lab,1,Heilig Hart Lier,yes
Heilig Hart Mol,originating_lab,1,Heilig Hart Mol,no
Hopital Sainte Therese Bastogne,originating_lab,1,Hopital Sainte Therese Bastogne,no
"Institute information KU Leuven, Clinical and Epidemiological Virology",originating_lab,1,Platform UZ/KU Leuven,yes
"Institute information KU Leuven, Clinical and Epidemiological Virology",submitting_lab,1,Platform UZ/KU Leuven,yes
Instituut Tropische Geneeskunde,originating_lab,1,ITM,no
"KU Leuven, Clincal and Epidemiological Virology",originating_lab,1,Platform UZ/KU Leuven,yes
"KU Leuven, Clincal and Epidemiological Virology",submitting_lab,1,Platform UZ/KU Leuven,yes
Laboratoire de biologie moléculaire - Plateforme Clinique,originating_lab,1,Platform Namur,yes
Laboratoire de biologie moléculaire - Plateforme Clinique,submitting_lab,1,Platform Namur,yes
Laboratoire Vivalia -Cliniques St-Joseph,originating_lab,1,Vivalia,yes
National Plateform bis UMONS/Jolimont,originating_lab,1,Platform Mons,yes
National Plateform bis UMONS/Jolimont,submitting_lab,1,Platform Mons,yes
PathoSense BV,submitting_lab,1,PathoSense BV,no
Plateforme de testing namuroise,submitting_lab,1,Platform Namur,yes
Saint-Luc Bouge,originating_lab,1,Saint-Luc Bouge,no
SCIENSANO National Influenza Centre,originating_lab,1,SCIENSANO National Influenza Centre,no
ST. JOZEFKLINIEK-Campus Willebroek,originating_lab,1,St. Jozefkliniek Willebroek,no
"The Institute of Tropical Medicine in Antwerp, Belgium",originating_lab,1,ITM,no
Universitair Ziekemhuis Antwerpen (UZA),originating_lab,1,UZA,yes
"University Hospital Basel, Clinical Bacteriology",submitting_lab,1,University Hospital Basel,no
"University Hospital Basel, Clinical Virology",originating_lab,1,University Hospital Basel,no
University Hospital Laboratory of Brussels Universitair Laboratorium van Brussel (LHUB-ULB),originating_lab,1,LHUB-ULB,yes
ZNA Middelheim,originating_lab,1,ZNA,yes
