LTLA,NHSREGION
E06000013,North East and Yorkshire
E06000005,North East and Yorkshire
E08000008,North West
E07000094,South East
E07000085,South East
E06000039,South East
E07000180,South East
E07000211,South East
E06000040,South East
E07000215,South East
E07000107,South East
E07000187,South West
E07000244,East of England
E09000005,London
E09000011,London
E09000008,London
E07000153,Midlands
E08000027,Midlands
E06000051,Midlands
E07000172,Midlands
E07000135,Midlands
E06000020,Midlands
E08000024,North East and Yorkshire
E06000049,North West
E06000037,South East
E07000115,South East
E07000103,East of England
E07000102,East of England
E09000014,London
E09000012,London
E09000019,London
E07000038,Midlands
E06000038,South East
E07000207,South East
E07000081,South West
E06000025,South West
E09000004,London
E09000025,London
E07000139,Midlands
E07000152,East of England
E07000193,Midlands
E07000239,Midlands
E07000035,Midlands
E07000237,Midlands
E06000047,North East and Yorkshire
E06000004,North East and Yorkshire
E08000034,North East and Yorkshire
E07000167,North East and Yorkshire
E08000014,North West
E08000005,North West
E06000007,North West
E07000227,South East
E07000217,South East
E07000112,South East
E06000044,South East
E07000212,South East
E07000086,South East
E06000024,South West
E07000083,South West
E06000034,East of England
E07000202,East of England
E06000056,East of England
E07000008,East of England
E07000071,East of England
E07000095,East of England
E07000149,East of England
E07000234,Midlands
E07000136,Midlands
E07000221,Midlands
E08000017,North East and Yorkshire
E07000166,North East and Yorkshire
E06000003,North East and Yorkshire
E07000163,North East and Yorkshire
E08000033,North East and Yorkshire
E06000011,North East and Yorkshire
E08000006,North West
E06000009,North West
E07000108,South East
E07000208,South East
E07000210,South East
E07000106,South East
E07000091,South East
E07000111,South East
E07000046,South West
E07000188,South West
E06000059,South West
E06000026,South West
E07000189,South West
E07000069,East of England
E07000146,East of England
E07000134,Midlands
E08000029,Midlands
E07000238,Midlands
E07000155,Midlands
E08000028,Midlands
E07000196,Midlands
E07000132,Midlands
E07000137,Midlands
E06000016,Midlands
E07000174,Midlands
E08000036,North East and Yorkshire
E07000119,North West
E08000013,North West
E07000061,South East
E07000065,South East
E07000090,South East
E07000110,South East
E07000226,South East
E07000228,South East
E07000087,South East
E06000022,South West
E07000246,South West
E07000073,East of England
E07000203,East of England
E07000148,East of England
E09000001,London
E07000032,Midlands
E07000142,Midlands
E07000176,Midlands
E06000021,Midlands
E07000133,Midlands
E07000236,Midlands
E07000235,Midlands
E07000156,Midlands
E07000198,Midlands
E07000165,North East and Yorkshire
E07000026,North East and Yorkshire
E08000037,North East and Yorkshire
E07000124,North West
E07000123,North West
E06000006,North West
E07000128,North West
E07000120,North West
E08000011,North West
E07000063,South East
E07000116,South East
E07000089,South East
E07000214,South East
E07000082,South West
E07000099,East of England
E07000143,East of England
E07000011,East of England
E07000077,East of England
E07000066,East of England
E06000055,East of England
E07000144,East of England
E07000147,East of England
E07000030,North East and Yorkshire
E06000057,North East and Yorkshire
E06000008,North West
E07000027,North West
E07000088,South East
E07000200,East of England
E06000031,East of England
E07000170,Midlands
E07000029,North East and Yorkshire
E06000002,North East and Yorkshire
E07000229,South East
E07000224,South East
E07000109,South East
E07000245,East of England
E07000074,East of England
E07000150,Midlands
E08000023,North East and Yorkshire
E07000213,South East
E07000145,East of England
E07000067,East of England
E07000222,Midlands
E06000001,North East and Yorkshire
E07000121,North West
E07000062,South East
E07000138,Midlands
E07000169,North East and Yorkshire
E07000064,South East
E07000199,Midlands
E06000012,North East and Yorkshire
E07000122,North West
E07000080,South West
E07000076,East of England
E07000127,North West
E07000117,North West
E07000223,South East
E07000009,East of England
E07000197,Midlands
E07000168,North East and Yorkshire
E07000125,North West
E07000075,East of England
E06000017,Midlands
E07000043,South West
E06000053,South West
