continent.country.region,Freq,continent,country,region,iso2c,iso3c,latitude_country,longitude_country,latitude_region,longitude_region,locality_revgeo,administrative_area_level_1_revgeo,administrative_area_level_2_revgeo,country_revgeo,state_revgeo_natearth,country_revgeo_natearth,,
Africa / Algeria / El Oued,2,Africa,Algeria,El Oued,DZ,DZA,28.15893844,2.61732102,33.367811,6.8516511,El Oued,El Oued Province,El Oued,Algeria,El Oued,Algeria,TRUE,
Africa / Algeria / Laghouat,7,Africa,Algeria,Laghouat,DZ,DZA,28.15893844,2.61732102,33.8078341,2.8628294,Laghouat,Laghouat Province,Laghouat,Algeria,Laghouat,Algeria,TRUE,
Africa / Algeria / Medea,2,Africa,Algeria,Medea,DZ,DZA,28.15893844,2.61732102,36.2637078,2.7587857,Médéa,Médéa Province,Medea,Algeria,Médéa,Algeria,TRUE,
Africa / Algeria / Oran,1,Africa,Algeria,Oran,DZ,DZA,28.15893844,2.61732102,35.6987388,-0.6349319,Oran,Oran Province,Oran,Algeria,Oran,Algeria,TRUE,
Africa / Algeria / Ouargla,5,Africa,Algeria,Ouargla,DZ,DZA,28.15893844,2.61732102,31.9527411,5.3335348,Ouargla,Ouargla Province,Ouargla,Algeria,Ouargla,Algeria,TRUE,
Africa / Algeria / Sétif,1,Africa,Algeria,Sétif,DZ,DZA,28.15893844,2.61732102,36.1897593,5.4107984,Setif,Sétif Province,Setif,Algeria,Sétif,Algeria,TRUE,
Africa / Algeria / Sidi Bel Abbes,4,Africa,Algeria,Sidi Bel Abbes,DZ,DZA,28.15893844,2.61732102,35.2105876,-0.629983,Sidi Bel Abbès,Sidi Bel Abbès Province,Sidi Bel Abbes,Algeria,Sidi Bel Abbès,Algeria,TRUE,
Africa / Algeria / Tindouf,1,Africa,Algeria,Tindouf,DZ,DZA,28.15893844,2.61732102,27.6719159,-8.1398003,Tindouf,Tindouf Province,Tindouf,Algeria,Tindouf,Algeria,TRUE,
Africa / Algeria / Tipaza,1,Africa,Algeria,Tipaza,DZ,DZA,28.15893844,2.61732102,36.5906719,2.4433723,Tipaza,Tipaza Province,Tipaza,Algeria,Tipasa,Algeria,TRUE,
Africa / Algeria / Tissemsilt,1,Africa,Algeria,Tissemsilt,DZ,DZA,28.15893844,2.61732102,35.6053781,1.813098,Tissemsilt,Tissemsilt Province,Tissemsilt,Algeria,Tissemsilt,Algeria,TRUE,
Africa / Algeria / Tizi-Ouzou,1,Africa,Algeria,Tizi-Ouzou,DZ,DZA,28.15893844,2.61732102,36.713548,4.0473075,Tizi Ouzou,Tizi Ouzou Province,Tizi Ouzou,Algeria,Tizi Ouzou,Algeria,TRUE,
Africa / Algeria / Touggourt,1,Africa,Algeria,Touggourt,DZ,DZA,28.15893844,2.61732102,33.1049642,6.0662834,Touggourt,Ouargla Province,Touggourt,Algeria,Ouargla,Algeria,TRUE,
Africa / Angola / Bengo,2,Africa,Angola,Bengo,AO,AGO,-12.29336112,17.53736149,-9.1042257,13.7289167,NA,Bengo Province,Icolo e Bengo,Angola,Bengo,Angola,TRUE,
Africa / Angola / Bie,4,Africa,Angola,Bie,AO,AGO,-12.29336112,17.53736149,-12.5727907,17.668887,NA,Bié Province,Camacupa,Angola,Bié,Angola,TRUE,
Africa / Angola / BIÉ,2,Africa,Angola,BIÉ,AO,AGO,-12.29336112,17.53736149,-12.343907,16.947666,Kunji,Bié Province,Kuito,Angola,Bié,Angola,TRUE,
Africa / Angola / C. Cubango,4,Africa,Angola,C. Cubango,AO,AGO,-12.29336112,17.53736149,-9.85,17.3,NA,Malanje Province,Cambundi-Catembo,Angola,Malanje,Angola,TRUE,
Africa / Angola / Cabinda,40,Africa,Angola,Cabinda,AO,AGO,-12.29336112,17.53736149,-5.5705739,12.197583,Cabinda,Cabinda Province,Cabinda,Angola,Cabinda,Angola,TRUE,
Africa / Angola / Capalacassa,1,Africa,Angola,Capalacassa,AO,AGO,-12.29336112,17.53736149,-9.25,14.95,NA,Cuanza Norte Province,Cazengo,Angola,Cuanza Norte,Angola,TRUE,
Africa / Angola / Cunene,11,Africa,Angola,Cunene,AO,AGO,-12.29336112,17.53736149,-16.2802221,16.1580937,NA,Cunene Province,Cuanhama,Angola,Cunene,Angola,TRUE,
Africa / Angola / Huambo,95,Africa,Angola,Huambo,AO,AGO,-12.29336112,17.53736149,-12.7739761,15.7468535,Huambo,Huambo Province,Huambo,Angola,Huambo,Angola,TRUE,
Africa / Angola / HUAMBO,27,Africa,Angola,HUAMBO,AO,AGO,-12.29336112,17.53736149,-12.7739761,15.7468535,Huambo,Huambo Province,Huambo,Angola,Huambo,Angola,TRUE,
Africa / Angola / Huila,1,Africa,Angola,Huila,AO,AGO,-12.29336112,17.53736149,-14.9280553,14.6587821,NA,Huila Province,Quipungo,Angola,Huíla,Angola,TRUE,
Africa / Angola / Luanda,867,Africa,Angola,Luanda,AO,AGO,-12.29336112,17.53736149,-8.8146556,13.2301756,Luanda,Luanda,Luanda,Angola,Luanda,Angola,TRUE,
Africa / Angola / LUANDA,96,Africa,Angola,LUANDA,AO,AGO,-12.29336112,17.53736149,-8.8146556,13.2301756,Luanda,Luanda,Luanda,Angola,Luanda,Angola,TRUE,
Africa / Angola / NA,3,Africa,Angola,NA,AO,AGO,-12.29336112,17.53736149,-12.29336112,17.53736149,NA,Bié Province,Camacupa,Angola,Bié,Angola,TRUE,
Africa / Angola / Uige,1,Africa,Angola,Uige,AO,AGO,-12.29336112,17.53736149,-7.6102105,15.0615865,Uige,Uíge Province,Uige,Angola,Uíge,Angola,TRUE,
Africa / Angola / UIGE,10,Africa,Angola,UIGE,AO,AGO,-12.29336112,17.53736149,-7.6102105,15.0615865,Uige,Uíge Province,Uige,Angola,Uíge,Angola,TRUE,
Africa / Angola / ZAIRE,1,Africa,Angola,ZAIRE,AO,AGO,-12.29336112,17.53736149,-6.5733458,13.1740348,NA,Zaire Province,Tomboco,Angola,Zaire,Angola,TRUE,
Africa / Benin / Aplahoue,3,Africa,Benin,Aplahoue,BJ,BEN,9.6417533,2.32784527,6.9421349,1.6736397,Aplahoue,Kouffo Department,Aplahoué,Benin,Kouffo,Benin,TRUE,
Africa / Benin / Athieme,1,Africa,Benin,Athieme,BJ,BEN,9.6417533,2.32784527,6.5915435,1.6809283,Athieme,Mono Department,Athieme,Benin,Mono,Benin,TRUE,
Africa / Benin / Atlantique,12,Africa,Benin,Atlantique,BJ,BEN,9.6417533,2.32784527,6.6588391,2.2236667,NA,Atlantique Department,Allada,Benin,Atlantique,Benin,TRUE,
Africa / Benin / Bohicon,1,Africa,Benin,Bohicon,BJ,BEN,9.6417533,2.32784527,7.1797684,2.0714223,Bohicon,Zou Department,Bohicon,Benin,Zou,Benin,TRUE,
Africa / Benin / Come,3,Africa,Benin,Come,BJ,BEN,9.6417533,2.32784527,6.4096168,1.8855057,Come,Mono Department,Comè,Benin,Mono,Benin,TRUE,
Africa / Benin / Cotonou,364,Africa,Benin,Cotonou,BJ,BEN,9.6417533,2.32784527,6.3702928,2.3912362,Cotonou,Littoral Department,Cotonou,Benin,Littoral,Benin,TRUE,
Africa / Benin / Couffo,4,Africa,Benin,Couffo,BJ,BEN,9.6417533,2.32784527,7.0035894,1.7538817,NA,Kouffo Department,Klouékanmè,Benin,Kouffo,Benin,TRUE,
Africa / Benin / Covè,1,Africa,Benin,Covè,BJ,BEN,9.6417533,2.32784527,7.2188798,2.3394209,Cove,Zou Department,Cové,Benin,Zou,Benin,TRUE,
Africa / Benin / Djakotomey,1,Africa,Benin,Djakotomey,BJ,BEN,9.6417533,2.32784527,6.8964579,1.6955092,NA,Kouffo Department,Djakotomey,Benin,Kouffo,Benin,TRUE,
Africa / Benin / Grand-Popo,6,Africa,Benin,Grand-Popo,BJ,BEN,9.6417533,2.32784527,6.2639324,1.7417143,Grand Popo,Mono Department,Grand-Popo,Benin,Mono,Benin,TRUE,
Africa / Benin / Klouekanme,2,Africa,Benin,Klouekanme,BJ,BEN,9.6417533,2.32784527,7.0461241,1.8708613,NA,Kouffo Department,Klouékanmè,Benin,Kouffo,Benin,TRUE,
Africa / Benin / Lalo,1,Africa,Benin,Lalo,BJ,BEN,9.6417533,2.32784527,6.8954168,1.9685826,NA,Kouffo Department,Lalo,Benin,Kouffo,Benin,TRUE,
Africa / Benin / Littoral,271,Africa,Benin,Littoral,BJ,BEN,9.6417533,2.32784527,6.3806973,2.4406387,Cotonou,Littoral Department,Cotonou,Benin,Littoral,Benin,TRUE,
Africa / Benin / Lokossa,9,Africa,Benin,Lokossa,BJ,BEN,9.6417533,2.32784527,6.6448093,1.7198215,Lokossa,Mono Department,Athieme,Benin,Mono,Benin,TRUE,
Africa / Benin / Mono,21,Africa,Benin,Mono,BJ,BEN,9.6417533,2.32784527,6.6607182,1.7538817,NA,Mono Department,Athieme,Benin,Mono,Benin,TRUE,
Africa / Benin / Oueme,30,Africa,Benin,Oueme,BJ,BEN,9.6417533,2.32784527,6.6148152,2.4999918,NA,Ouémé Department,Dangbo,Benin,Ouémé,Benin,TRUE,
Africa / Benin / Porto-Novo,3,Africa,Benin,Porto-Novo,BJ,BEN,9.6417533,2.32784527,6.4968574,2.6288523,Porto-Novo,Ouémé Department,Porto Novo,Benin,Ouémé,Benin,TRUE,
Africa / Benin / Zou,6,Africa,Benin,Zou,BJ,BEN,9.6417533,2.32784527,7.3469268,2.0665197,NA,Zou Department,Djidja,Benin,Zou,Benin,TRUE,
Africa / Botswana / Africa,2,Africa,Botswana,Africa,BW,BWA,-22.18402031,23.7985373,-22.328474,24.684866,NA,Ghanzi District,CKGR,Botswana,Ghanzi,Botswana,TRUE,
Africa / Botswana / Boatle,2,Africa,Botswana,Boatle,BW,BWA,-22.18402031,23.7985373,-24.8250242,25.7072198,Boatle,South-East District,Gaborone,Botswana,South-East,Botswana,TRUE,
Africa / Botswana / Bobirwa,4,Africa,Botswana,Bobirwa,BW,BWA,-22.18402031,23.7985373,-21.981377,28.4279933,Bobonong,Central District,Bobonong,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Bobonong,14,Africa,Botswana,Bobonong,BW,BWA,-22.18402031,23.7985373,-22.0939778,28.5797981,NA,Central District,Bobonong,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Boipelego,3,Africa,Botswana,Boipelego,BW,BWA,-22.18402031,23.7985373,-22.4286211,26.6979736,Serowe,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Bokaa,7,Africa,Botswana,Bokaa,BW,BWA,-22.18402031,23.7985373,-24.42787,26.023656,Bokaa,Kgatleng District,Kgatleng,Botswana,Kgatleng,Botswana,TRUE,
Africa / Botswana / Boteti,3,Africa,Botswana,Boteti,BW,BWA,-22.18402031,23.7985373,-20.7930785,24.3740273,NA,Central District,Boteti,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Ccentral,1,Africa,Botswana,Ccentral,BW,BWA,-22.18402031,23.7985373,-21.1672276,26.419389,NA,Central District,Tutume,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Central,155,Africa,Botswana,Central,BW,BWA,-22.18402031,23.7985373,-21.1672276,26.419389,NA,Central District,Tutume,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Charles Hill,1,Africa,Botswana,Charles Hill,BW,BWA,-22.18402031,23.7985373,-22.2789264,20.0747439,Charles Hill,Ghanzi District,Ghanzi,Botswana,Ghanzi,Botswana,TRUE,
Africa / Botswana / Chobe,206,Africa,Botswana,Chobe,BW,BWA,-22.18402031,23.7985373,-18.4256281,24.7142918,NA,North-West District,Chobe,Botswana,North-West,Botswana,TRUE,
Africa / Botswana / Digawana,1,Africa,Botswana,Digawana,BW,BWA,-22.18402031,23.7985373,-24.6169308,25.9463035,Gaborone,South-East District,Gaborone,Botswana,Gaborone,Botswana,TRUE,
Africa / Botswana / Dimajwe,20,Africa,Botswana,Dimajwe,BW,BWA,-22.18402031,23.7985373,-21.6795525,26.7546698,NA,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Diphuduhudu,1,Africa,Botswana,Diphuduhudu,BW,BWA,-22.18402031,23.7985373,-23.945308,22.9833275,Phuduhudu,Kgalagadi District,Kgalagadi North District,Botswana,Kgalagadi,Botswana,TRUE,
Africa / Botswana / Francistown,80,Africa,Botswana,Francistown,BW,BWA,-22.18402031,23.7985373,-21.1661005,27.5143603,Francistown,North-East District,Francistown,Botswana,Francistown,Botswana,TRUE,
Africa / Botswana / Gaborone,805,Africa,Botswana,Gaborone,BW,BWA,-22.18402031,23.7985373,-24.6282079,25.9231471,Gaborone,South-East District,Gaborone,Botswana,Gaborone,Botswana,TRUE,
Africa / Botswana / Ghanzi,52,Africa,Botswana,Ghanzi,BW,BWA,-22.18402031,23.7985373,-21.6960991,21.6481861,Ghanzi,Ghanzi District,Ghanzi,Botswana,Ghanzi,Botswana,TRUE,
Africa / Botswana / Gobojango,1,Africa,Botswana,Gobojango,BW,BWA,-22.18402031,23.7985373,-21.816667,28.783333,NA,Central District,Bobonong,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Good Hope,2,Africa,Botswana,Good Hope,BW,BWA,-22.18402031,23.7985373,-25.4741508,25.4318914,Goodhope,Southern District,Barolong,Botswana,Southern,Botswana,TRUE,
Africa / Botswana / Goodhope,5,Africa,Botswana,Goodhope,BW,BWA,-22.18402031,23.7985373,-25.4741508,25.4318914,Goodhope,Southern District,Barolong,Botswana,Southern,Botswana,TRUE,
Africa / Botswana / GoodHope,2,Africa,Botswana,GoodHope,BW,BWA,-22.18402031,23.7985373,-25.4741508,25.4318914,Goodhope,Southern District,Barolong,Botswana,Southern,Botswana,TRUE,
Africa / Botswana / Greater Gaborone,20,Africa,Botswana,Greater Gaborone,BW,BWA,-22.18402031,23.7985373,-24.6282079,25.9231471,Gaborone,South-East District,Gaborone,Botswana,Gaborone,Botswana,TRUE,
Africa / Botswana / Greater Palapye,11,Africa,Botswana,Greater Palapye,BW,BWA,-22.18402031,23.7985373,-22.5514872,27.1147095,Palapye,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Greater Phikwe,9,Africa,Botswana,Greater Phikwe,BW,BWA,-22.18402031,23.7985373,-22.3,27.016667,NA,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Hebron,1,Africa,Botswana,Hebron,BW,BWA,-22.18402031,23.7985373,-25.6556821,25.3990841,NA,Southern District,Barolong,Botswana,Southern,Botswana,TRUE,
Africa / Botswana / Hukuntsi,11,Africa,Botswana,Hukuntsi,BW,BWA,-22.18402031,23.7985373,-23.9931196,21.7495419,Hukuntsi,Kgalagadi District,Kgalagadi North District,Botswana,Kgalagadi,Botswana,TRUE,
Africa / Botswana / Jwaneng,11,Africa,Botswana,Jwaneng,BW,BWA,-22.18402031,23.7985373,-24.6059582,24.7202287,Jwaneng,Southern District,Jwaneng District,Botswana,Jwaneng,Botswana,TRUE,
Africa / Botswana / Kanye,7,Africa,Botswana,Kanye,BW,BWA,-22.18402031,23.7985373,-24.988061,25.3430203,Kanye,Southern District,Ngwaketse,Botswana,Southern,Botswana,TRUE,
Africa / Botswana / Kasane,119,Africa,Botswana,Kasane,BW,BWA,-22.18402031,23.7985373,-17.7952306,25.1711298,Kasane,North-West District,Chobe,Botswana,North-West,Botswana,TRUE,
Africa / Botswana / Kedia,1,Africa,Botswana,Kedia,BW,BWA,-22.18402031,23.7985373,-21.4166667,24.6,NA,Central District,Boteti,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Kgagodi,2,Africa,Botswana,Kgagodi,BW,BWA,-22.18402031,23.7985373,-22.3867269,27.5671944,Kgagodi,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Kgalagadi,1,Africa,Botswana,Kgalagadi,BW,BWA,-22.18402031,23.7985373,-24.7550285,21.8568586,NA,Kgalagadi District,Kgalagadi North District,Botswana,Kgalagadi,Botswana,TRUE,
Africa / Botswana / Kgalakgadi,16,Africa,Botswana,Kgalakgadi,BW,BWA,-22.18402031,23.7985373,-24.7550285,21.8568586,NA,Kgalagadi District,Kgalagadi North District,Botswana,Kgalagadi,Botswana,TRUE,
Africa / Botswana / Kgatleng,5,Africa,Botswana,Kgatleng,BW,BWA,-22.18402031,23.7985373,-24.1970445,26.2304616,NA,Kgatleng District,NA,Botswana,Kgatleng,Botswana,TRUE,
Africa / Botswana / Kopong,3,Africa,Botswana,Kopong,BW,BWA,-22.18402031,23.7985373,-24.4770763,25.8906212,Kopong,South-East District,Gaborone,Botswana,Kweneng,Botswana,TRUE,
Africa / Botswana / Kweneg,1,Africa,Botswana,Kweneg,BW,BWA,-22.18402031,23.7985373,-23.8367249,25.2837585,NA,Kweneng District,Kweneng West,Botswana,Kweneng,Botswana,TRUE,
Africa / Botswana / Kweneng,28,Africa,Botswana,Kweneng,BW,BWA,-22.18402031,23.7985373,-23.8983478,25.9574361,NA,Kweneng District,Kweneng East,Botswana,Kweneng,Botswana,TRUE,
Africa / Botswana / Lechaneng,1,Africa,Botswana,Lechaneng,BW,BWA,-22.18402031,23.7985373,-21.966667,27.5,NA,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Lentsweletau,1,Africa,Botswana,Lentsweletau,BW,BWA,-22.18402031,23.7985373,-24.259633,25.8580914,Lentsweletau,Kweneng District,Kweneng East,Botswana,Kweneng,Botswana,TRUE,
Africa / Botswana / Letlhakeng,3,Africa,Botswana,Letlhakeng,BW,BWA,-22.18402031,23.7985373,-24.097317,25.0288051,Letlhakeng,Kweneng District,Kweneng East,Botswana,Kweneng,Botswana,TRUE,
Africa / Botswana / Lobatse,118,Africa,Botswana,Lobatse,BW,BWA,-22.18402031,23.7985373,-25.2076148,25.6805868,Lobatse,South-East District,Lobatse,Botswana,Lobatse,Botswana,TRUE,
Africa / Botswana / Mabeleapodi,5,Africa,Botswana,Mabeleapodi,BW,BWA,-22.18402031,23.7985373,-22.2133399,26.8331628,NA,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Mabeleapudi,2,Africa,Botswana,Mabeleapudi,BW,BWA,-22.18402031,23.7985373,-22.2133399,26.8331628,NA,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Mabete,1,Africa,Botswana,Mabete,BW,BWA,-22.18402031,23.7985373,-22.18402031,23.7985373,NA,Ghanzi District,CKGR,Botswana,Ghanzi,Botswana,TRUE,
Africa / Botswana / Mabuo,10,Africa,Botswana,Mabuo,BW,BWA,-22.18402031,23.7985373,-22.624585,26.359908,NA,Central District,Mahalapye,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Mahalapye,6,Africa,Botswana,Mahalapye,BW,BWA,-22.18402031,23.7985373,-23.107801,26.8321332,Mahalapye,Central District,Mahalapye,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Majwanaadipitse,3,Africa,Botswana,Majwanaadipitse,BW,BWA,-22.18402031,23.7985373,-22.1136348,26.8833526,NA,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Malatswae,13,Africa,Botswana,Malatswae,BW,BWA,-22.18402031,23.7985373,-21.8130353,25.9379302,Malatswae,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Malatswai,1,Africa,Botswana,Malatswai,BW,BWA,-22.18402031,23.7985373,-21.8130353,25.9379302,Malatswae,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Mamuno,15,Africa,Botswana,Mamuno,BW,BWA,-22.18402031,23.7985373,-22.28005,20.032921,NA,Ghanzi District,NA,Botswana,Ghanzi,Botswana,TRUE,
Africa / Botswana / Masunga,16,Africa,Botswana,Masunga,BW,BWA,-22.18402031,23.7985373,-20.666667,27.416667,NA,North-East District,North East District,Botswana,North-East,Botswana,TRUE,
Africa / Botswana / Mathangwane,1,Africa,Botswana,Mathangwane,BW,BWA,-22.18402031,23.7985373,-20.9977174,27.3352044,Mathangwane,North-East District,North East District,Botswana,North-East,Botswana,TRUE,
Africa / Botswana / Mathethe,2,Africa,Botswana,Mathethe,BW,BWA,-22.18402031,23.7985373,-25.3169512,25.2659777,Mmathethe,Southern District,Barolong,Botswana,Southern,Botswana,TRUE,
Africa / Botswana / Matlhakola,1,Africa,Botswana,Matlhakola,BW,BWA,-22.18402031,23.7985373,-22.7193833,27.3104979,NA,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Maun,74,Africa,Botswana,Maun,BW,BWA,-22.18402031,23.7985373,-19.9952622,23.4180769,Maun,North-West District,Ngamiland East,Botswana,North-West,Botswana,TRUE,
Africa / Botswana / Maunatlala,1,Africa,Botswana,Maunatlala,BW,BWA,-22.18402031,23.7985373,-22.5923709,27.637617,Maunatlala,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Mbalambi,5,Africa,Botswana,Mbalambi,BW,BWA,-22.18402031,23.7985373,-20.5013095,27.3440192,Mbalambi,North-East District,North East District,Botswana,North-East,Botswana,TRUE,
Africa / Botswana / Metlojane,5,Africa,Botswana,Metlojane,BW,BWA,-22.18402031,23.7985373,-25.5380308,25.3696844,Metlojane,Southern District,Barolong,Botswana,Southern,Botswana,TRUE,
Africa / Botswana / Mmadinare,3,Africa,Botswana,Mmadinare,BW,BWA,-22.18402031,23.7985373,-21.88106,27.751381,NA,Central District,Selebi-Phikwe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Mmashoro,4,Africa,Botswana,Mmashoro,BW,BWA,-22.18402031,23.7985373,-21.865622,26.4400439,Mmashoro,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Mochud,1,Africa,Botswana,Mochud,BW,BWA,-22.18402031,23.7985373,-24.3994943,26.1477598,Mochudi,Kgatleng District,Kgatleng,Botswana,Kgatleng,Botswana,TRUE,
Africa / Botswana / Mochudi,8,Africa,Botswana,Mochudi,BW,BWA,-22.18402031,23.7985373,-24.3994943,26.1477598,Mochudi,Kgatleng District,Kgatleng,Botswana,Kgatleng,Botswana,TRUE,
Africa / Botswana / Modipane,4,Africa,Botswana,Modipane,BW,BWA,-22.18402031,23.7985373,-24.6290665,26.1280605,NA,South-East District,NA,Botswana,South-East,Botswana,TRUE,
Africa / Botswana / Mogorosi,2,Africa,Botswana,Mogorosi,BW,BWA,-22.18402031,23.7985373,-22.4330211,26.5639347,Mogorosi,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Moiyabana,2,Africa,Botswana,Moiyabana,BW,BWA,-22.18402031,23.7985373,-22.6295397,26.4016834,Moiyabana,Central District,Mahalapye,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Molepolole,41,Africa,Botswana,Molepolole,BW,BWA,-22.18402031,23.7985373,-24.3965818,25.4970466,Molepolole,Kweneng District,Kweneng East,Botswana,Kweneng,Botswana,TRUE,
Africa / Botswana / Morwa,2,Africa,Botswana,Morwa,BW,BWA,-22.18402031,23.7985373,-23.9833329,23.083333,NA,Southern District,Jwaneng District,Botswana,Kweneng,Botswana,TRUE,
Africa / Botswana / Motopi,8,Africa,Botswana,Motopi,BW,BWA,-22.18402031,23.7985373,-20.2221381,24.13799,Motopi,Central District,Boteti,Botswana,Central,Botswana,TRUE,
Africa / Botswana / NA,1,Africa,Botswana,NA,BW,BWA,-22.18402031,23.7985373,-22.18402031,23.7985373,NA,Ghanzi District,CKGR,Botswana,Ghanzi,Botswana,TRUE,
Africa / Botswana / Ngamiland,32,Africa,Botswana,Ngamiland,BW,BWA,-22.18402031,23.7985373,-19.1905321,23.0011989,NA,North-West District,Ngamiland East,Botswana,North-West,Botswana,TRUE,
Africa / Botswana / North East,21,Africa,Botswana,North East,BW,BWA,-22.18402031,23.7985373,-20.9030555,27.4556388,NA,North-East District,North East District,Botswana,North-East,Botswana,TRUE,
Africa / Botswana / Oodi,20,Africa,Botswana,Oodi,BW,BWA,-22.18402031,23.7985373,-24.5700786,26.0569682,NA,South-East District,Gaborone,Botswana,Kgatleng,Botswana,TRUE,
Africa / Botswana / Orapa,27,Africa,Botswana,Orapa,BW,BWA,-22.18402031,23.7985373,-21.3119942,25.4022706,Orapa,Central District,Orapa,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Otse,1,Africa,Botswana,Otse,BW,BWA,-22.18402031,23.7985373,-25.0324274,25.7486438,Otse,South-East District,South East,Botswana,South-East,Botswana,TRUE,
Africa / Botswana / Paje,2,Africa,Botswana,Paje,BW,BWA,-22.18402031,23.7985373,-22.2637003,26.790893,Paje,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Palapye,106,Africa,Botswana,Palapye,BW,BWA,-22.18402031,23.7985373,-22.5514872,27.1147095,Palapye,Central District,Serowe,Botswana,Central,Botswana,TRUE,
Africa / Botswana / Phaphane,1,Africa,Botswana,Phaphane,BW,BWA,-22.18402031,23.7985373,-24.4028003,26.1244807,Mochudi,Kgatleng District,Kgatleng,Botswana,Kgatleng,Botswana,TRUE,
