"type","age","date","count"
"hospitalisations","0-5",2020-11-01,9
"hospitalisations","6-17",2020-11-01,11
"hospitalisations","18-54",2020-11-01,209
"hospitalisations","55-64",2020-11-01,163
"hospitalisations","65-74",2020-11-01,233
"hospitalisations","75-84",2020-11-01,330
"hospitalisations","85+",2020-11-01,250
"hospitalisations","0-5",2020-11-02,10
"hospitalisations","6-17",2020-11-02,10
"hospitalisations","18-54",2020-11-02,242
"hospitalisations","55-64",2020-11-02,179
"hospitalisations","65-74",2020-11-02,231
"hospitalisations","75-84",2020-11-02,317
"hospitalisations","85+",2020-11-02,270
"hospitalisations","0-5",2020-11-03,11
"hospitalisations","6-17",2020-11-03,15
"hospitalisations","18-54",2020-11-03,213
"hospitalisations","55-64",2020-11-03,143
"hospitalisations","65-74",2020-11-03,228
"hospitalisations","75-84",2020-11-03,325
"hospitalisations","85+",2020-11-03,250
"hospitalisations","0-5",2020-11-04,10
"hospitalisations","6-17",2020-11-04,10
"hospitalisations","18-54",2020-11-04,244
"hospitalisations","55-64",2020-11-04,195
"hospitalisations","65-74",2020-11-04,247
"hospitalisations","75-84",2020-11-04,336
"hospitalisations","85+",2020-11-04,276
"hospitalisations","0-5",2020-11-05,6
"hospitalisations","6-17",2020-11-05,9
"hospitalisations","18-54",2020-11-05,212
"hospitalisations","55-64",2020-11-05,176
"hospitalisations","65-74",2020-11-05,248
"hospitalisations","75-84",2020-11-05,329
"hospitalisations","85+",2020-11-05,293
"hospitalisations","0-5",2020-11-06,7
"hospitalisations","6-17",2020-11-06,12
"hospitalisations","18-54",2020-11-06,211
"hospitalisations","55-64",2020-11-06,155
"hospitalisations","65-74",2020-11-06,202
"hospitalisations","75-84",2020-11-06,307
"hospitalisations","85+",2020-11-06,220
"hospitalisations","0-5",2020-11-07,6
"hospitalisations","6-17",2020-11-07,6
"hospitalisations","18-54",2020-11-07,264
"hospitalisations","55-64",2020-11-07,169
"hospitalisations","65-74",2020-11-07,225
"hospitalisations","75-84",2020-11-07,319
"hospitalisations","85+",2020-11-07,252
"hospitalisations","0-5",2020-11-08,10
"hospitalisations","6-17",2020-11-08,6
"hospitalisations","18-54",2020-11-08,265
"hospitalisations","55-64",2020-11-08,178
"hospitalisations","65-74",2020-11-08,265
"hospitalisations","75-84",2020-11-08,397
"hospitalisations","85+",2020-11-08,302
"hospitalisations","0-5",2020-11-09,9
"hospitalisations","6-17",2020-11-09,13
"hospitalisations","18-54",2020-11-09,267
"hospitalisations","55-64",2020-11-09,207
"hospitalisations","65-74",2020-11-09,286
"hospitalisations","75-84",2020-11-09,386
"hospitalisations","85+",2020-11-09,326
"hospitalisations","0-5",2020-11-10,4
"hospitalisations","6-17",2020-11-10,12
"hospitalisations","18-54",2020-11-10,272
"hospitalisations","55-64",2020-11-10,206
"hospitalisations","65-74",2020-11-10,278
"hospitalisations","75-84",2020-11-10,403
"hospitalisations","85+",2020-11-10,331
"hospitalisations","0-5",2020-11-11,6
"hospitalisations","6-17",2020-11-11,14
"hospitalisations","18-54",2020-11-11,302
"hospitalisations","55-64",2020-11-11,212
"hospitalisations","65-74",2020-11-11,312
"hospitalisations","75-84",2020-11-11,393
"hospitalisations","85+",2020-11-11,363
"hospitalisations","0-5",2020-11-12,12
"hospitalisations","6-17",2020-11-12,12
"hospitalisations","18-54",2020-11-12,307
"hospitalisations","55-64",2020-11-12,215
"hospitalisations","65-74",2020-11-12,308
"hospitalisations","75-84",2020-11-12,402
"hospitalisations","85+",2020-11-12,330
"hospitalisations","0-5",2020-11-13,10
"hospitalisations","6-17",2020-11-13,15
"hospitalisations","18-54",2020-11-13,272
"hospitalisations","55-64",2020-11-13,178
"hospitalisations","65-74",2020-11-13,273
"hospitalisations","75-84",2020-11-13,368
"hospitalisations","85+",2020-11-13,235
"hospitalisations","0-5",2020-11-14,8
"hospitalisations","6-17",2020-11-14,12
"hospitalisations","18-54",2020-11-14,275
"hospitalisations","55-64",2020-11-14,170
"hospitalisations","65-74",2020-11-14,261
"hospitalisations","75-84",2020-11-14,355
"hospitalisations","85+",2020-11-14,251
"hospitalisations","0-5",2020-11-15,5
"hospitalisations","6-17",2020-11-15,11
"hospitalisations","18-54",2020-11-15,250
"hospitalisations","55-64",2020-11-15,215
"hospitalisations","65-74",2020-11-15,267
"hospitalisations","75-84",2020-11-15,399
"hospitalisations","85+",2020-11-15,286
"hospitalisations","0-5",2020-11-16,8
"hospitalisations","6-17",2020-11-16,11
"hospitalisations","18-54",2020-11-16,269
"hospitalisations","55-64",2020-11-16,194
"hospitalisations","65-74",2020-11-16,314
"hospitalisations","75-84",2020-11-16,392
"hospitalisations","85+",2020-11-16,318
"hospitalisations","0-5",2020-11-17,6
"hospitalisations","6-17",2020-11-17,11
"hospitalisations","18-54",2020-11-17,286
"hospitalisations","55-64",2020-11-17,181
"hospitalisations","65-74",2020-11-17,255
"hospitalisations","75-84",2020-11-17,400
"hospitalisations","85+",2020-11-17,285
"hospitalisations","0-5",2020-11-18,5
"hospitalisations","6-17",2020-11-18,9
"hospitalisations","18-54",2020-11-18,294
"hospitalisations","55-64",2020-11-18,211
"hospitalisations","65-74",2020-11-18,284
"hospitalisations","75-84",2020-11-18,389
"hospitalisations","85+",2020-11-18,307
"hospitalisations","0-5",2020-11-19,9
"hospitalisations","6-17",2020-11-19,7
"hospitalisations","18-54",2020-11-19,261
"hospitalisations","55-64",2020-11-19,193
"hospitalisations","65-74",2020-11-19,262
"hospitalisations","75-84",2020-11-19,358
"hospitalisations","85+",2020-11-19,304
"hospitalisations","0-5",2020-11-20,10
"hospitalisations","6-17",2020-11-20,11
"hospitalisations","18-54",2020-11-20,235
"hospitalisations","55-64",2020-11-20,151
"hospitalisations","65-74",2020-11-20,259
"hospitalisations","75-84",2020-11-20,311
"hospitalisations","85+",2020-11-20,272
"hospitalisations","0-5",2020-11-21,8
"hospitalisations","6-17",2020-11-21,15
"hospitalisations","18-54",2020-11-21,217
"hospitalisations","55-64",2020-11-21,175
"hospitalisations","65-74",2020-11-21,233
"hospitalisations","75-84",2020-11-21,300
"hospitalisations","85+",2020-11-21,256
"hospitalisations","0-5",2020-11-22,10
"hospitalisations","6-17",2020-11-22,12
"hospitalisations","18-54",2020-11-22,260
"hospitalisations","55-64",2020-11-22,170
"hospitalisations","65-74",2020-11-22,232
"hospitalisations","75-84",2020-11-22,306
"hospitalisations","85+",2020-11-22,294
"hospitalisations","0-5",2020-11-23,10
"hospitalisations","6-17",2020-11-23,12
"hospitalisations","18-54",2020-11-23,283
"hospitalisations","55-64",2020-11-23,181
"hospitalisations","65-74",2020-11-23,257
"hospitalisations","75-84",2020-11-23,317
"hospitalisations","85+",2020-11-23,281
"hospitalisations","0-5",2020-11-24,10
"hospitalisations","6-17",2020-11-24,8
"hospitalisations","18-54",2020-11-24,240
"hospitalisations","55-64",2020-11-24,170
"hospitalisations","65-74",2020-11-24,223
"hospitalisations","75-84",2020-11-24,320
"hospitalisations","85+",2020-11-24,262
"hospitalisations","0-5",2020-11-25,6
"hospitalisations","6-17",2020-11-25,11
"hospitalisations","18-54",2020-11-25,274
"hospitalisations","55-64",2020-11-25,171
"hospitalisations","65-74",2020-11-25,227
"hospitalisations","75-84",2020-11-25,366
"hospitalisations","85+",2020-11-25,287
"hospitalisations","0-5",2020-11-26,10
"hospitalisations","6-17",2020-11-26,7
"hospitalisations","18-54",2020-11-26,222
"hospitalisations","55-64",2020-11-26,147
"hospitalisations","65-74",2020-11-26,194
"hospitalisations","75-84",2020-11-26,281
"hospitalisations","85+",2020-11-26,256
"hospitalisations","0-5",2020-11-27,9
"hospitalisations","6-17",2020-11-27,15
"hospitalisations","18-54",2020-11-27,196
"hospitalisations","55-64",2020-11-27,136
"hospitalisations","65-74",2020-11-27,181
"hospitalisations","75-84",2020-11-27,251
"hospitalisations","85+",2020-11-27,216
"hospitalisations","0-5",2020-11-28,9
"hospitalisations","6-17",2020-11-28,5
"hospitalisations","18-54",2020-11-28,191
"hospitalisations","55-64",2020-11-28,103
"hospitalisations","65-74",2020-11-28,182
"hospitalisations","75-84",2020-11-28,253
"hospitalisations","85+",2020-11-28,272
"hospitalisations","0-5",2020-11-29,9
"hospitalisations","6-17",2020-11-29,12
"hospitalisations","18-54",2020-11-29,221
"hospitalisations","55-64",2020-11-29,147
"hospitalisations","65-74",2020-11-29,184
"hospitalisations","75-84",2020-11-29,305
"hospitalisations","85+",2020-11-29,282
"hospitalisations","0-5",2020-11-30,6
"hospitalisations","6-17",2020-11-30,10
"hospitalisations","18-54",2020-11-30,218
"hospitalisations","55-64",2020-11-30,137
"hospitalisations","65-74",2020-11-30,196
"hospitalisations","75-84",2020-11-30,311
"hospitalisations","85+",2020-11-30,288
"hospitalisations","0-5",2020-12-01,7
"hospitalisations","6-17",2020-12-01,5
"hospitalisations","18-54",2020-12-01,216
"hospitalisations","55-64",2020-12-01,162
"hospitalisations","65-74",2020-12-01,204
"hospitalisations","75-84",2020-12-01,296
"hospitalisations","85+",2020-12-01,278
"hospitalisations","0-5",2020-12-02,9
"hospitalisations","6-17",2020-12-02,19
"hospitalisations","18-54",2020-12-02,226
"hospitalisations","55-64",2020-12-02,137
"hospitalisations","65-74",2020-12-02,199
"hospitalisations","75-84",2020-12-02,308
"hospitalisations","85+",2020-12-02,279
"hospitalisations","0-5",2020-12-03,9
"hospitalisations","6-17",2020-12-03,9
"hospitalisations","18-54",2020-12-03,218
"hospitalisations","55-64",2020-12-03,173
"hospitalisations","65-74",2020-12-03,237
"hospitalisations","75-84",2020-12-03,323
"hospitalisations","85+",2020-12-03,283
"hospitalisations","0-5",2020-12-04,8
"hospitalisations","6-17",2020-12-04,10
"hospitalisations","18-54",2020-12-04,245
"hospitalisations","55-64",2020-12-04,123
"hospitalisations","65-74",2020-12-04,192
"hospitalisations","75-84",2020-12-04,277
"hospitalisations","85+",2020-12-04,278
"hospitalisations","0-5",2020-12-05,6
"hospitalisations","6-17",2020-12-05,9
"hospitalisations","18-54",2020-12-05,215
"hospitalisations","55-64",2020-12-05,131
"hospitalisations","65-74",2020-12-05,203
"hospitalisations","75-84",2020-12-05,281
"hospitalisations","85+",2020-12-05,262
"hospitalisations","0-5",2020-12-06,5
"hospitalisations","6-17",2020-12-06,11
"hospitalisations","18-54",2020-12-06,215
"hospitalisations","55-64",2020-12-06,156
"hospitalisations","65-74",2020-12-06,205
"hospitalisations","75-84",2020-12-06,346
"hospitalisations","85+",2020-12-06,319
"hospitalisations","0-5",2020-12-07,6
"hospitalisations","6-17",2020-12-07,17
"hospitalisations","18-54",2020-12-07,242
"hospitalisations","55-64",2020-12-07,163
"hospitalisations","65-74",2020-12-07,253
"hospitalisations","75-84",2020-12-07,331
"hospitalisations","85+",2020-12-07,371
"hospitalisations","0-5",2020-12-08,9
"hospitalisations","6-17",2020-12-08,9
"hospitalisations","18-54",2020-12-08,274
"hospitalisations","55-64",2020-12-08,177
"hospitalisations","65-74",2020-12-08,261
"hospitalisations","75-84",2020-12-08,365
"hospitalisations","85+",2020-12-08,356
"hospitalisations","0-5",2020-12-09,7
"hospitalisations","6-17",2020-12-09,19
"hospitalisations","18-54",2020-12-09,251
"hospitalisations","55-64",2020-12-09,188
"hospitalisations","65-74",2020-12-09,227
"hospitalisations","75-84",2020-12-09,368
"hospitalisations","85+",2020-12-09,385
"hospitalisations","0-5",2020-12-10,8
"hospitalisations","6-17",2020-12-10,14
"hospitalisations","18-54",2020-12-10,260
"hospitalisations","55-64",2020-12-10,180
"hospitalisations","65-74",2020-12-10,236
"hospitalisations","75-84",2020-12-10,356
"hospitalisations","85+",2020-12-10,368
"hospitalisations","0-5",2020-12-11,6
"hospitalisations","6-17",2020-12-11,7
"hospitalisations","18-54",2020-12-11,254
"hospitalisations","55-64",2020-12-11,181
"hospitalisations","65-74",2020-12-11,215
"hospitalisations","75-84",2020-12-11,348
"hospitalisations","85+",2020-12-11,345
"hospitalisations","0-5",2020-12-12,17
"hospitalisations","6-17",2020-12-12,10
"hospitalisations","18-54",2020-12-12,257
"hospitalisations","55-64",2020-12-12,174
"hospitalisations","65-74",2020-12-12,257
"hospitalisations","75-84",2020-12-12,387
"hospitalisations","85+",2020-12-12,398
"hospitalisations","0-5",2020-12-13,12
"hospitalisations","6-17",2020-12-13,12
"hospitalisations","18-54",2020-12-13,275
"hospitalisations","55-64",2020-12-13,196
"hospitalisations","65-74",2020-12-13,245
"hospitalisations","75-84",2020-12-13,394
"hospitalisations","85+",2020-12-13,378
"hospitalisations","0-5",2020-12-14,12
"hospitalisations","6-17",2020-12-14,15
"hospitalisations","18-54",2020-12-14,290
"hospitalisations","55-64",2020-12-14,198
"hospitalisations","65-74",2020-12-14,286
"hospitalisations","75-84",2020-12-14,412
"hospitalisations","85+",2020-12-14,420
"hospitalisations","0-5",2020-12-15,13
"hospitalisations","6-17",2020-12-15,16
"hospitalisations","18-54",2020-12-15,305
"hospitalisations","55-64",2020-12-15,186
"hospitalisations","65-74",2020-12-15,276
"hospitalisations","75-84",2020-12-15,443
"hospitalisations","85+",2020-12-15,399
"hospitalisations","0-5",2020-12-16,17
"hospitalisations","6-17",2020-12-16,11
"hospitalisations","18-54",2020-12-16,312
"hospitalisations","55-64",2020-12-16,210
"hospitalisations","65-74",2020-12-16,303
"hospitalisations","75-84",2020-12-16,439
"hospitalisations","85+",2020-12-16,399
"hospitalisations","0-5",2020-12-17,19
"hospitalisations","6-17",2020-12-17,12
"hospitalisations","18-54",2020-12-17,340
"hospitalisations","55-64",2020-12-17,242
"hospitalisations","65-74",2020-12-17,285
"hospitalisations","75-84",2020-12-17,455
"hospitalisations","85+",2020-12-17,411
"hospitalisations","0-5",2020-12-18,15
"hospitalisations","6-17",2020-12-18,20
"hospitalisations","18-54",2020-12-18,330
"hospitalisations","55-64",2020-12-18,210
"hospitalisations","65-74",2020-12-18,270
"hospitalisations","75-84",2020-12-18,402
"hospitalisations","85+",2020-12-18,345
"hospitalisations","0-5",2020-12-19,13
"hospitalisations","6-17",2020-12-19,12
"hospitalisations","18-54",2020-12-19,352
"hospitalisations","55-64",2020-12-19,249
"hospitalisations","65-74",2020-12-19,287
"hospitalisations","75-84",2020-12-19,435
"hospitalisations","85+",2020-12-19,378
"hospitalisations","0-5",2020-12-20,16
"hospitalisations","6-17",2020-12-20,16
"hospitalisations","18-54",2020-12-20,422
"hospitalisations","55-64",2020-12-20,260
"hospitalisations","65-74",2020-12-20,290
"hospitalisations","75-84",2020-12-20,450
"hospitalisations","85+",2020-12-20,431
"hospitalisations","0-5",2020-12-21,17
"hospitalisations","6-17",2020-12-21,17
"hospitalisations","18-54",2020-12-21,448
"hospitalisations","55-64",2020-12-21,282
"hospitalisations","65-74",2020-12-21,377
"hospitalisations","75-84",2020-12-21,464
"hospitalisations","85+",2020-12-21,459
"hospitalisations","0-5",2020-12-22,25
"hospitalisations","6-17",2020-12-22,12
"hospitalisations","18-54",2020-12-22,443
"hospitalisations","55-64",2020-12-22,299
"hospitalisations","65-74",2020-12-22,374
"hospitalisations","75-84",2020-12-22,502
"hospitalisations","85+",2020-12-22,437
"hospitalisations","0-5",2020-12-23,11
"hospitalisations","6-17",2020-12-23,14
"hospitalisations","18-54",2020-12-23,439
"hospitalisations","55-64",2020-12-23,255
"hospitalisations","65-74",2020-12-23,308
"hospitalisations","75-84",2020-12-23,464
"hospitalisations","85+",2020-12-23,380
"hospitalisations","0-5",2020-12-24,14
"hospitalisations","6-17",2020-12-24,9
"hospitalisations","18-54",2020-12-24,407
"hospitalisations","55-64",2020-12-24,238
"hospitalisations","65-74",2020-12-24,315
"hospitalisations","75-84",2020-12-24,389
"hospitalisations","85+",2020-12-24,333
"hospitalisations","0-5",2020-12-25,12
"hospitalisations","6-17",2020-12-25,11
"hospitalisations","18-54",2020-12-25,448
"hospitalisations","55-64",2020-12-25,286
"hospitalisations","65-74",2020-12-25,344
"hospitalisations","75-84",2020-12-25,424
"hospitalisations","85+",2020-12-25,362
"hospitalisations","0-5",2020-12-26,17
"hospitalisations","6-17",2020-12-26,12
"hospitalisations","18-54",2020-12-26,508
"hospitalisations","55-64",2020-12-26,324
"hospitalisations","65-74",2020-12-26,405
"hospitalisations","75-84",2020-12-26,493
"hospitalisations","85+",2020-12-26,450
"hospitalisations","0-5",2020-12-27,27
"hospitalisations","6-17",2020-12-27,20
"hospitalisations","18-54",2020-12-27,605
"hospitalisations","55-64",2020-12-27,394
"hospitalisations","65-74",2020-12-27,427
"hospitalisations","75-84",2020-12-27,546
"hospitalisations","85+",2020-12-27,482
"hospitalisations","0-5",2020-12-28,29
"hospitalisations","6-17",2020-12-28,19
"hospitalisations","18-54",2020-12-28,654
"hospitalisations","55-64",2020-12-28,379
"hospitalisations","65-74",2020-12-28,463
"hospitalisations","75-84",2020-12-28,615
"hospitalisations","85+",2020-12-28,528
"hospitalisations","0-5",2020-12-29,22
"hospitalisations","6-17",2020-12-29,15
"hospitalisations","18-54",2020-12-29,645
"hospitalisations","55-64",2020-12-29,414
"hospitalisations","65-74",2020-12-29,493
"hospitalisations","75-84",2020-12-29,619
"hospitalisations","85+",2020-12-29,542
"hospitalisations","0-5",2020-12-30,20
"hospitalisations","6-17",2020-12-30,17
"hospitalisations","18-54",2020-12-30,650
"hospitalisations","55-64",2020-12-30,451
"hospitalisations","65-74",2020-12-30,435
"hospitalisations","75-84",2020-12-30,607
"hospitalisations","85+",2020-12-30,562
"hospitalisations","0-5",2020-12-31,19
"hospitalisations","6-17",2020-12-31,12
"hospitalisations","18-54",2020-12-31,553
"hospitalisations","55-64",2020-12-31,389
"hospitalisations","65-74",2020-12-31,417
"hospitalisations","75-84",2020-12-31,585
"hospitalisations","85+",2020-12-31,444
"hospitalisations","0-5",2021-01-01,19
"hospitalisations","6-17",2021-01-01,20
"hospitalisations","18-54",2021-01-01,632
"hospitalisations","55-64",2021-01-01,448
"hospitalisations","65-74",2021-01-01,557
"hospitalisations","75-84",2021-01-01,689
"hospitalisations","85+",2021-01-01,567
"hospitalisations","0-5",2021-01-02,18
"hospitalisations","6-17",2021-01-02,18
"hospitalisations","18-54",2021-01-02,673
"hospitalisations","55-64",2021-01-02,453
"hospitalisations","65-74",2021-01-02,538
"hospitalisations","75-84",2021-01-02,731
"hospitalisations","85+",2021-01-02,587
"hospitalisations","0-5",2021-01-03,20
"hospitalisations","6-17",2021-01-03,21
"hospitalisations","18-54",2021-01-03,772
"hospitalisations","55-64",2021-01-03,501
"hospitalisations","65-74",2021-01-03,543
"hospitalisations","75-84",2021-01-03,758
"hospitalisations","85+",2021-01-03,626
"hospitalisations","0-5",2021-01-04,28
"hospitalisations","6-17",2021-01-04,25
"hospitalisations","18-54",2021-01-04,723
"hospitalisations","55-64",2021-01-04,562
"hospitalisations","65-74",2021-01-04,588
"hospitalisations","75-84",2021-01-04,801
"hospitalisations","85+",2021-01-04,683
"hospitalisations","0-5",2021-01-05,26
"hospitalisations","6-17",2021-01-05,20
"hospitalisations","18-54",2021-01-05,810
"hospitalisations","55-64",2021-01-05,533
"hospitalisations","65-74",2021-01-05,674
"hospitalisations","75-84",2021-01-05,776
"hospitalisations","85+",2021-01-05,699
"hospitalisations","0-5",2021-01-06,24
"hospitalisations","6-17",2021-01-06,23
"hospitalisations","18-54",2021-01-06,836
"hospitalisations","55-64",2021-01-06,604
"hospitalisations","65-74",2021-01-06,705
"hospitalisations","75-84",2021-01-06,873
"hospitalisations","85+",2021-01-06,724
"hospitalisations","0-5",2021-01-07,24
"hospitalisations","6-17",2021-01-07,23
"hospitalisations","18-54",2021-01-07,749
"hospitalisations","55-64",2021-01-07,625
"hospitalisations","65-74",2021-01-07,670
"hospitalisations","75-84",2021-01-07,843
"hospitalisations","85+",2021-01-07,752
"hospitalisations","0-5",2021-01-08,29
"hospitalisations","6-17",2021-01-08,14
"hospitalisations","18-54",2021-01-08,728
"hospitalisations","55-64",2021-01-08,497
"hospitalisations","65-74",2021-01-08,623
"hospitalisations","75-84",2021-01-08,804
"hospitalisations","85+",2021-01-08,681
"hospitalisations","0-5",2021-01-09,20
"hospitalisations","6-17",2021-01-09,8
"hospitalisations","18-54",2021-01-09,727
"hospitalisations","55-64",2021-01-09,562
"hospitalisations","65-74",2021-01-09,656
"hospitalisations","75-84",2021-01-09,843
"hospitalisations","85+",2021-01-09,716
"hospitalisations","0-5",2021-01-10,14
"hospitalisations","6-17",2021-01-10,16
"hospitalisations","18-54",2021-01-10,678
"hospitalisations","55-64",2021-01-10,502
"hospitalisations","65-74",2021-01-10,676
"hospitalisations","75-84",2021-01-10,781
"hospitalisations","85+",2021-01-10,737
"hospitalisations","0-5",2021-01-11,16
"hospitalisations","6-17",2021-01-11,19
"hospitalisations","18-54",2021-01-11,794
"hospitalisations","55-64",2021-01-11,597
"hospitalisations","65-74",2021-01-11,704
"hospitalisations","75-84",2021-01-11,817
"hospitalisations","85+",2021-01-11,740
"hospitalisations","0-5",2021-01-12,27
"hospitalisations","6-17",2021-01-12,17
"hospitalisations","18-54",2021-01-12,814
"hospitalisations","55-64",2021-01-12,624
"hospitalisations","65-74",2021-01-12,718
"hospitalisations","75-84",2021-01-12,899
"hospitalisations","85+",2021-01-12,800
"hospitalisations","0-5",2021-01-13,32
"hospitalisations","6-17",2021-01-13,13
"hospitalisations","18-54",2021-01-13,807
"hospitalisations","55-64",2021-01-13,523
"hospitalisations","65-74",2021-01-13,707
"hospitalisations","75-84",2021-01-13,827
"hospitalisations","85+",2021-01-13,683
"hospitalisations","0-5",2021-01-14,21
"hospitalisations","6-17",2021-01-14,13
"hospitalisations","18-54",2021-01-14,736
"hospitalisations","55-64",2021-01-14,566
"hospitalisations","65-74",2021-01-14,640
"hospitalisations","75-84",2021-01-14,748
"hospitalisations","85+",2021-01-14,697
"hospitalisations","0-5",2021-01-15,20
"hospitalisations","6-17",2021-01-15,13
"hospitalisations","18-54",2021-01-15,670
"hospitalisations","55-64",2021-01-15,507
"hospitalisations","65-74",2021-01-15,589
